Country (Code UN (M49)),Country (Name),Unit (Name),Unit,[1961],[1962],[1963],[1964],[1965],[1966],[1967],[1968],[1969],[1970],[1971],[1972],[1973],[1974],[1975],[1976],[1977],[1978],[1979],[1980],[1981],[1982],[1983],[1984],[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
004,Afghanistan,Number (Thousand),Number (1000),8790.14,8969.05,9157.47,9355.51,9565.15,9783.15,10010.03,10247.78,10494.49,10752.97,11015.86,11286.75,11575.31,11869.88,12157.39,12425.27,12687.3,12938.86,12986.37,12486.63,11155.19,10088.29,9951.45,10243.69,10512.22,10448.44,10322.76,10383.46,10673.17,10694.8,10745.17,12057.43,14003.76,15455.56,16418.91,17106.6,17788.82,18493.13,19262.85,19542.98,19688.63,21000.26,22645.13,23553.55,24411.19,25442.94,25903.3,26427.2,27385.31,28189.67,29249.16,30466.48,31541.21,32716.21,33753.5,34636.21,35643.42,36686.78,37769.5
008,Albania,Number (Thousand),Number (1000),1769.08,1828.23,1888.3,1949.01,2009.79,2070.69,2132.44,2195.47,2259.8,2324.73,2389.81,2455.17,2520.44,2585.45,2650.12,2713.56,2774.8,2833.31,2888.76,2941.65,2992.39,3041.18,3087.91,3131.73,3171.72,3207.13,3237.68,3263.02,3282.18,3295.07,3302.08,3303.74,3300.71,3294,3284.36,3271.33,3253.72,3232.18,3208.26,3182.02,3153.61,3123.55,3092.99,3062.62,3032.63,3003.39,2976.08,2951.69,2930.54,2913.4,2900.65,2892.19,2887.01,2884.1,2882.48,2881.06,2879.36,2877.01,2873.88
012,Algeria,Number (Thousand),Number (1000),11598.61,11778.26,11969.45,12179.1,12381.26,12613.39,12897.12,13190.98,13491.02,13795.92,14110.27,14439.75,14786.47,15153.6,15724.69,16500.52,17134.19,17632.65,18166.98,18739.38,19351.36,20000.1,20682.11,21393.53,22132.9,22882.55,23586.1,24243.02,24889.51,25518.07,26133.9,26748.3,27354.33,27937.01,28478.02,28984.63,29476.03,29924.67,30346.08,30774.62,31200.99,31624.7,32055.88,32510.19,32956.69,33435.08,33983.83,34569.59,35196.04,35856.34,36543.54,37260.56,38000.63,38760.17,39543.15,40339.33,41136.55,41927.01,42705.37
016,American Samoa,Number (Thousand),Number (1000),0,0,0,0,0,0,0,0,0,0,0,0,28.53,29.01,29.57,30.2,30.82,31.43,32.05,32.89,34.06,35.37,36.73,38.17,39.66,41.22,42.84,44.53,46.29,47.82,48.99,50.08,51.17,52.29,53.4,54.5,55.58,56.6,57.59,58.23,58.32,58.18,57.94,57.63,57.25,56.84,56.38,55.89,55.37,54.85,54.31,53.69,52.99,52.22,51.37,50.45,49.46,48.42,47.32
024,Angola,Number (Thousand),Number (1000),5441.33,5521.4,5599.83,5673.2,5736.58,5787.05,5827.5,5868.2,5928.39,6029.7,6177.05,6364.73,6578.23,6802.49,7032.71,7266.78,7511.9,7771.59,8043.22,8330.05,8631.46,8947.15,9276.71,9617.7,9970.62,10332.57,10694.06,11060.26,11439.5,11828.64,12228.69,12632.51,13038.27,13462.03,13912.25,14383.35,14871.15,15366.86,15870.75,16394.06,16941.59,17516.14,18124.34,18771.12,19450.96,20162.34,20909.68,21691.52,22507.67,23364.19,24259.11,25188.29,26147,27128.34,28127.72,29154.75,30208.63,31273.53,32353.59
660,Anguilla,Number (Thousand),Number (1000),0,0,0,0,0,0,0,0,0,6.28,6.33,6.37,6.4,6.43,6.46,6.5,6.52,6.54,6.55,6.56,6.57,6.58,6.6,6.69,6.91,7.17,7.44,7.72,8.02,8.32,8.62,8.89,9.12,9.36,9.6,9.86,10.13,10.42,10.72,11.05,11.34,11.56,11.74,11.93,12.13,12.32,12.53,12.73,12.95,13.17,13.34,13.46,13.7,14.12,14.53,14.81,15.02,15.18,15.38
028,Antigua and Barbuda,Number (Thousand),Number (1000),56.24,57.01,57.78,58.66,59.64,60.62,61.62,62.66,63.74,64.52,64.77,64.69,64.46,64.22,64.03,63.99,64.12,64.33,64.61,64.89,65.08,65.23,65.41,65.36,65.05,64.71,64.35,63.98,63.64,63.33,63.63,64.66,65.83,67.07,68.4,69.8,71.22,72.57,73.82,75.06,76.22,77.19,78.08,78.94,79.87,80.9,82.02,83.25,84.53,85.69,86.73,87.67,88.5,89.24,89.94,90.56,91.12,91.63,92.12
032,Argentina,Number (Thousand),Number (1000),20680.65,21020.36,21364.02,21708.49,22053.66,22403.12,22757.01,23112.97,23472.03,23842.8,24223.38,24612.79,25020.59,25449.76,25875.56,26290.26,26713.78,27146.12,27584.13,28024.8,28471.28,28922.76,29377.14,29832.2,30287.11,30748.33,31216.45,31690.79,32165.77,32637.66,33105.76,33568.29,34027.24,34488.7,34946.11,35389.36,35815.97,36233.19,36653.03,37070.77,37480.49,37885.03,38278.16,38668.8,39070.5,39476.85,39876.11,40273.77,40684.34,41100.12,41520.74,41952.36,42388.27,42824.05,43257.07,43668.24,44054.62,44413.6,44745.52
051,Armenia,Number (Thousand),Number (1000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3574.56,3457.35,3373.71,3322.78,3298.9,3271.42,3240.55,3206.03,3168.52,3133.13,3105.04,3084.1,3065.74,3047.25,3026.49,3004.39,2983.42,2964.3,2946.29,2928.98,2914.42,2901.39,2889.93,2878.59,2865.84,2851.92,2836.56,2820.6
533,Aruba,Number (Thousand),Number (1000),55.81,56.68,57.48,58.18,58.78,59.29,59.52,59.47,59.33,59.11,58.82,58.86,59.37,60.03,60.72,61.19,61.47,61.74,62.01,62.27,62.61,63.12,63.68,64.17,64.48,64.55,64.45,64.33,64.6,65.71,67.86,70.19,72.36,74.71,77.05,79.42,81.86,84.36,86.87,89.1,90.69,91.78,92.7,93.54,94.48,95.61,96.79,98,99.21,100.34,101.29,102.11,102.88,103.59,104.26,104.88,105.44,105.96,106.44
